movie_title,production_budget_usd,worldwide_budget_usd
One for the Money,42000000.00,36197221.00
Mad Max Beyond Thunderdome,10000000.00,36230219.00
Rumble in the Bronx,7500000.00,36238752.00
Room,13000000.00,36262783.00
A Very Harold & Kumar 3D Christmas,20000000.00,36265745.00
The Kids Are All Right,4000000.00,36275469.00
Alive,32000000.00,36299670.00
Haywire,23000000.00,36374700.00
The Glimmer Man,45000000.00,36404841.00
Hotel Rwanda,17500000.00,36521223.00
Sicko,9000000.00,36535837.00
Shine,5500000.00,36665191.00
The Adventures of Pinocchio,25000000.00,36682170.00
Friday the 13th Part 3,2250000.00,36690067.00
Disaster Movie,20000000.00,36720752.00
Eight Legged Freaks,30000000.00,36722311.00
"Sex, Lies, and Videotape",1200000.00,36741667.00
Titan A.E.,75000000.00,36751979.00
Barfi,4600000.00,36751984.00
Amour,9700000.00,36787044.00
Kiss of the Dragon,25000000.00,36833473.00
My Favorite Martian,60000000.00,36850101.00
Zack and Miri Make a Porno,24000000.00,36856306.00
The Bachelor,21000000.00,36882378.00
The Fog,18000000.00,37048526.00
Jersey Girl,35000000.00,37066129.00
Psycho,20000000.00,37226218.00
The Majestic,72000000.00,37306334.00
Gomorra,6200000.00,37339594.00
Time Bandits,12000000.00,37400000.00
Oliver!,10000000.00,37402877.00
The Hills Have Eyes II,15000000.00,37466538.00
The Boat That Rocked,50000000.00,37472651.00
Blair Witch,10000000.00,37493221.00
Bill & Ted's Bogus Journey,20000000.00,37537675.00
Hell or High Water,12000000.00,37584304.00
Tom Jones,1000000.00,37600000.00
Halloween: Resurrection,15000000.00,37659652.00
How Stella Got Her Groove Back,20000000.00,37672944.00
Showgirls,40000000.00,37750754.00
The Black Stallion,2700000.00,37799643.00
Emma,5900000.00,37831658.00
Happily N'Ever After,47000000.00,37923818.00
Sgt. Bilko,39000000.00,37956589.00
For Colored Girls,21000000.00,38017873.00
Beastly,17000000.00,38028230.00
The Banger Sisters,10000000.00,38067218.00
Ri¢hie Ri¢h,40000000.00,38087756.00
Carnage,25000000.00,38112154.00
Spaceballs,22700000.00,38119483.00
The Running Man,30000000.00,38122000.00
Jumping the Broom,7000000.00,38158601.00
Just My Luck,28000000.00,38159905.00
The Covenant,20000000.00,38164784.00
Quest for Camelot,40000000.00,38172500.00
The Original Kings of Comedy,3000000.00,38236338.00
Annie Hall,4000000.00,38251425.00
The Missing,65000000.00,38253433.00
Head of State,35200000.00,38283765.00
After the Sunset,57000000.00,38329114.00
Beauty Shop,25000000.00,38351350.00
Employee of the Month,10000000.00,38364855.00
The Soloist,60000000.00,38389024.00
What's the Worst That Could Happen?,30000000.00,38462071.00
Halloween 2,15000000.00,38512850.00
The Ghost and the Darkness,55000000.00,38564422.00
Urban Legends: Final Cut,15000000.00,38574362.00
Koltchak,20000000.00,38585047.00
On Deadly Ground,50000000.00,38590458.00
Someone Like You,23000000.00,38684906.00
The Gambler,25000000.00,38718031.00
Little Shop of Horrors,30000000.00,38747385.00
The Sitter,25000000.00,38749404.00
Criminal,31500000.00,38771262.00
Clockstoppers,26000000.00,38788828.00
The Warlords,40000000.00,38899792.00
3 Days to Kill,28000000.00,38959900.00
Ex Machina,13000000.00,38976797.00
Agora,70000000.00,38992292.00
The Spirit,60000000.00,39006188.00
Yentl,12000000.00,39012241.00
Primary Colors,65000000.00,39017984.00
What's Love Got to Do With It,15000000.00,39100956.00
Don't Be Afraid of the Dark,25000000.00,39126427.00
Winged Migration,28000000.00,39134983.00
Million Dollar Arm,25000000.00,39217912.00
Brooklyn's Finest,17000000.00,39233233.00
The Legend of Bagger Vance,60000000.00,39235486.00
Killing Them Softly,15000000.00,39238443.00
National Lampoon's Van Wilder,6000000.00,39241323.00
Anna and the King,75000000.00,39251128.00
Never Back Down,21000000.00,39319801.00
Furry Vengeance,35000000.00,39340177.00
Hocus Pocus,28000000.00,39360491.00
Whale Rider,4300000.00,39374600.00
Becoming Jane,16500000.00,39380876.00
Crocodile Dundee in Los Angeles,25000000.00,39393111.00
Dreamer: Inspired by a True Story,32000000.00,39498360.00
Sin City: A Dame to Kill For,65000000.00,39499349.00
Mars Needs Moms,150000000.00,39549758.00
Mar adentro,13300000.00,39686345.00
Monte Carlo,20000000.00,39686769.00
Memento,5000000.00,39723096.00
Cirque du Freak: The Vampire's Assistant,40000000.00,39753957.00
The Beach,50000000.00,39778599.00
Caddyshack,6000000.00,39846344.00
The Secret Life of Bees,11000000.00,39984023.00
Thank You For Smoking,7500000.00,40016662.00
I Still Know What You Did Last Summer,24000000.00,40020622.00
The Forest,10000000.00,40055439.00
Scoop,4000000.00,40103262.00
Twisted,50000000.00,40119848.00
The Love Guru,62000000.00,40123346.00
All About Steve,15000000.00,40127259.00
The Invasion,80000000.00,40147042.00
The Piano,7000000.00,40157856.00
The Faculty,15000000.00,40283321.00
Fist Fight,25000000.00,40287017.00
La mala educación,5000000.00,40311842.00
Serenity,39000000.00,40319440.00
The Master of Disguise,16000000.00,40363530.00
Bless the Child,40000000.00,40435694.00
The Witch,3500000.00,40454520.00
Bill & Ted's Excellent Adventure,10000000.00,40485039.00
Fright Night,30000000.00,40520649.00
El secreto de sus ojos,3500000.00,40527719.00
War,25000000.00,40686409.00
Undercover Brother,25000000.00,40796145.00
Where the Heart Is,15000000.00,40862054.00
30 Minutes or Less,28000000.00,40966716.00
Happy Gilmore,10000000.00,41004412.00
Rough Night,20000000.00,41015970.00
Drive Angry,50000000.00,41042583.00
The Best of Me,26000000.00,41059418.00
Money Talks,25000000.00,41076865.00
Ricki and the Flash,18000000.00,41148679.00
The French Connection,2200000.00,41158757.00
The Mirror Has Two Faces,42000000.00,41267469.00
Don Jon,5500000.00,41268579.00
The Guilt Trip,40000000.00,41294674.00
This is Where I Leave You,20000000.00,41296320.00
Gosford Park,18000000.00,41300105.00
50/50,8000000.00,41334735.00
Man of the Year,20000000.00,41342180.00
Leatherheads,58000000.00,41348628.00
Peggy Sue Got Married,18000000.00,41382841.00
Pale Rider,6900000.00,41410568.00
Gridiron Gang,30000000.00,41457834.00
Dredd,45000000.00,41467606.00
Gremlins 2: The New Batch,50000000.00,41476097.00
Safe,33000000.00,41495213.00
The Sisterhood of the Traveling Pants,25000000.00,41560117.00
Astro Boy,65000000.00,41636243.00
Dream House,50000000.00,41642166.00
Wimbledon,35000000.00,41666476.00
Still Alice,5000000.00,41699612.00
Casino Royale,12000000.00,41744718.00
The Gallows,100000.00,41753881.00
The Informant!,22000000.00,41771168.00
The Fisher King,24000000.00,41798224.00
"As Above, So Below",5000000.00,41824066.00
The Return of the Pink Panther,5000000.00,41833347.00
A Lot Like Love,25000000.00,41921590.00
Quarantine,12000000.00,41924774.00
Meet the Browns,20000000.00,41975388.00
Into the Blue,50000000.00,41982227.00
Around the World in 80 Days,6000000.00,42000000.00
Gamer,50000000.00,42002029.00
A Good Year,35000000.00,42064105.00
T2: Trainspotting,18000000.00,42067430.00
In the Bedroom,1700000.00,42137871.00
Almost Christmas,17000000.00,42141196.00
Love the Coopers,18000000.00,42167286.00
Earth to Echo,13000000.00,42174545.00
21 and Over,13000000.00,42195766.00
Joheunnom nabbeunnom isanghannom,10000000.00,42226657.00
Teenage Mutant Ninja Turtles III,21000000.00,42273609.00
My Name is Khan,8470000.00,42355526.00
8 femmes,8000000.00,42376425.00
Chernobyl Diaries,1000000.00,42411721.00
The Four Seasons,6500000.00,42488161.00
Basic,50000000.00,42598498.00
Legend,25000000.00,42642077.00
Shaolin Soccer,10000000.00,42776032.00
Glory Road,30000000.00,42799060.00
No Escape,5000000.00,42844516.00
Escape from Alcatraz,8000000.00,43000000.00
Tom yum goong,5700000.00,43044087.00
See Spot Run,16000000.00,43057552.00
Boogie Nights,15000000.00,43111725.00
Girl with a Pearl Earring,12000000.00,43281552.00
Orange County,18000000.00,43308707.00
Jìyì dàshī,20000000.00,43326383.00
Last Holiday,45000000.00,43343247.00
Harold & Kumar Escape from Guantanamo Bay,12000000.00,43353117.00
Jobs,18000000.00,43402515.00
Pride and Glory,30000000.00,43440721.00
Soul Food,7500000.00,43492389.00
The DUFF,8500000.00,43528634.00
Fly Me To the Moon,25000000.00,43530281.00
We Are Marshall,65000000.00,43545364.00
Going the Distance,32000000.00,43603990.00
Welcome Home Roscoe Jenkins,27500000.00,43607627.00
Freedom Writers,21000000.00,43632609.00
Max,20000000.00,43658157.00
West Side Story,6000000.00,43700000.00
Hardball,21000000.00,43728560.00
Monster's Ball,4000000.00,43766463.00
A Man Apart,36000000.00,43797731.00
Wall Street,16500000.00,43848100.00
Crank,12000000.00,43924923.00
The Transporter,21000000.00,43928932.00
Dogma,10000000.00,43948865.00
Exorcist: The Beginning,78000000.00,43957541.00
Semi-Pro,55000000.00,43980363.00
The Last Emperor,25000000.00,43988888.00
The Boy in the Striped Pajamas,12500000.00,44083403.00
House at the End of the Street,6900000.00,44103982.00
Oculus,5000000.00,44115496.00
Shi Yue Wei Cheng,23000000.00,44195779.00
Child's Play,9000000.00,44196684.00
The Postman Always Rings Twice,12000000.00,44200000.00
Florence Foster Jenkins,29000000.00,44267641.00
The Sisterhood of the Traveling Pants 2,27000000.00,44270131.00
The Jungle Book,27000000.00,44342956.00
Patriots Day,40000000.00,44383030.00
The Shining,19000000.00,44391156.00
Clash of the Titans,15000000.00,44400000.00
Push,38000000.00,44411527.00
Recess: School's Out,10000000.00,44451470.00
One Missed Call,20000000.00,44513466.00
The Gift,10000000.00,44567606.00
Meet Joe Black,85000000.00,44650003.00
Young Guns,13000000.00,44726644.00
Midnight Cowboy,3600000.00,44785053.00
Home,500000.00,44793168.00
A Nightmare On Elm Street 3: Dream Warriors,5000000.00,44793222.00
Lakeview Terrace,20000000.00,44821299.00
Scarface,25000000.00,44942821.00
Medicine Man,40000000.00,44948240.00
Deep Throat,25000.00,45000000.00
Notorious,19000000.00,45005151.00
Brothers,26000000.00,45043870.00
A Monster Calls,43000000.00,45095823.00
Eddie the Eagle,23000000.00,45121177.00
The Duchess,27000000.00,45160110.00
Deuce Bigalow: European Gigolo,22000000.00,45273464.00
Léon,16000000.00,45284974.00
Good Boy!,17000000.00,45312217.00
Keeping the Faith,29000000.00,45336404.00
Dancer in the Dark,12500000.00,45557491.00
Hot Pursuit,35000000.00,45680201.00
Man on a Ledge,42000000.00,45688337.00
"McFarland, USA",17000000.00,45707924.00
Firefox,21000000.00,45785720.00
Black Rain,30000000.00,45892212.00
The Rainmaker,40000000.00,45916769.00
"Everything, Everything",10000000.00,45921140.00
A Walk to Remember,11000000.00,46060915.00
For Love of the Game,50000000.00,46112640.00
Napoleon Dynamite,400000.00,46122713.00
Risen,20000000.00,46164361.00
Torque,40000000.00,46176322.00
The Big Lebowski,15000000.00,46189568.00
Entourage,30000000.00,46225326.00
Des Hommes et Des Dieux,5000000.00,46263525.00
The Nativity Story,35000000.00,46309644.00
Machete,12500000.00,46370970.00
The Last House on the Left,15000000.00,46526243.00
Bangkok Dangerous,45000000.00,46598133.00
The Debt,20000000.00,46604054.00
The Wrestler,6000000.00,46634275.00
Get Rich or Die Tryin',40000000.00,46666955.00
Fortress,12000000.00,46730578.00
The Spy Next Door,28000000.00,46752858.00
Goodfellas,25000000.00,46777347.00
Death at a Funeral,20000000.00,46790428.00
Deck the Halls,51000000.00,46815807.00
The Place Beyond the Pines,15000000.00,47011449.00
The Fantastic Mr. Fox,40000000.00,47085064.00
Soul Surfer,18000000.00,47158652.00
The Wedding Date,15000000.00,47175038.00
The Hunted,55000000.00,47213095.00
The Watcher,33000000.00,47267829.00
Darkness Falls,7000000.00,47289758.00
長江七號 (CJ7),20000000.00,47300771.00
Walking Tall,56000000.00,47313824.00
Almost Famous,60000000.00,47371191.00
Man on the Moon,52000000.00,47407635.00
Crazy Heart,8500000.00,47417251.00
The World's End,20000000.00,47508505.00
Texas Chainsaw 3D,20000000.00,47666013.00
Hachiko: A Dog's Story,16000000.00,47707417.00
Book of Shadows: Blair Witch 2,15000000.00,47721314.00
George A. Romero's Land of the Dead,18975000.00,47751015.00
Shutter,8000000.00,47782426.00
Arthur,40000000.00,47787943.00
Trouble with the Curve,60000000.00,47818913.00
High Fidelity,20000000.00,47881663.00
Secondhand Lions,30000000.00,47902566.00
The Blue Lagoon,4500000.00,47923795.00
Ballerina,30000000.00,48048527.00
Scott Pilgrim vs. The World,85000000.00,48056764.00
Red Dawn,65000000.00,48164150.00
G.I. Jane,50000000.00,48169156.00
Malcolm X,35000000.00,48169910.00
The Finest Hours,70000000.00,48197252.00
The Last Stand,30000000.00,48330757.00
The Big Wedding,32500000.00,48425971.00
Magnolia,37000000.00,48446802.00
Charlie St. Cloud,44000000.00,48478084.00
Les petits mouchoirs,25000000.00,48530887.00
Her,23000000.00,48531242.00
Parker,35000000.00,48543388.00
9,30000000.00,48559999.00
Fat Albert,45000000.00,48563556.00
The Omen,2800000.00,48570885.00
The Avengers,60000000.00,48585416.00
She's Out of My League,20000000.00,48680977.00
Alpha and Omega 3D,20000000.00,48958353.00
Death at a Funeral,21000000.00,48977233.00
Danny the Dog,43000000.00,49037621.00
The Negotiator,50000000.00,49105766.00
The Last King of Scotland,6000000.00,49155371.00
Operation Chromite,12700000.00,49196532.00
The Black Dahlia,60000000.00,49238525.00
A Nightmare on Elm Street 4: The Dream Master,13000000.00,49369899.00
Dark Water,60000000.00,49473093.00
The Fourth Kind,10000000.00,49486874.00
The Ant Bully,45000000.00,49610898.00
How Do You Know?,120000000.00,49628177.00
Drillbit Taylor,40000000.00,49686263.00
Sky Captain and the World of Tomorrow,70000000.00,49730854.00
This Christmas,13000000.00,49733545.00
Major League,11000000.00,49793054.00
Leaving Las Vegas,4000000.00,49800000.00
Popeye,20000000.00,49823037.00
Legal Eagles,40000000.00,49851591.00
The Switch,19000000.00,49858465.00
The Hurt Locker,15000000.00,49894223.00
Capote,7000000.00,49924079.00
Raising Helen,50000000.00,49928680.00
The Deer Hunter,15000000.00,50000000.00
Reds,33500000.00,50000000.00
Little Women,15000000.00,50003303.00
The Replacements,50000000.00,50054511.00
Absolute Power,50000000.00,50068310.00
Fever Pitch,40000000.00,50071069.00
The Longest Day,10000000.00,50100000.00
The Women,16000000.00,50103808.00
Winnie the Pooh,30000000.00,50145607.00
Breakdown,36000000.00,50159144.00
Sphere,73000000.00,50168294.00
Grindhouse,53000000.00,50187789.00
K-PAX,48000000.00,50315140.00
Nightcrawler,8500000.00,50334418.00
Concussion,35000000.00,50363790.00
Red Tails,58000000.00,50365498.00
Hollywood Homicide,75000000.00,50409753.00
About Last Night,13000000.00,50445860.00
Diary of a Mad Black Woman,5500000.00,50458356.00
The Texas Chainsaw Massacre: The Beginning,16000000.00,50517763.00
Notes on a Scandal,27500000.00,50578411.00
Mighty Joe Young,80000000.00,50632037.00
Meet Dave,60000000.00,50648806.00
Bride of Chucky,25000000.00,50692188.00
Elizabethtown,54000000.00,50719373.00
August: Osage County,25000000.00,50738810.00
The Mighty Ducks,10000000.00,50752337.00
A Bridge Too Far,26000000.00,50800000.00
You Got Served,8000000.00,50811858.00
Coco avant Chanel,23000000.00,50813834.00
Yeh Jawaani Hai Deewani,8300000.00,50827466.00
Team America: World Police,20000000.00,50948811.00
Enough,38000000.00,50970660.00
Naked Gun 33 1/3: The Final Insult,30000000.00,51041856.00
The Family,30000000.00,51078541.00
Fargo,7000000.00,51204567.00
Mortal Kombat: Annihilation,30000000.00,51327406.00
Daybreakers,20000000.00,51445503.00
Blue Crush,30000000.00,51618420.00
Homefront,22000000.00,51695362.00
Maximum Risk,25000000.00,51702929.00
I Can Do Bad All By Myself,19000000.00,51733921.00
Hanging Up,40000000.00,51867723.00
Amadeus,18000000.00,51973029.00
"South Park: Bigger, Longer & Uncut",21000000.00,52037603.00
Nowhere to Run,15000000.00,52189039.00
One Hour Photo,12000000.00,52223306.00
Stand by Me,8000000.00,52287414.00
The Color of Money,10000000.00,52293000.00
Ordinary People,6000000.00,52302978.00
Le Petit Nicolas,30000000.00,52339566.00
The Night Before,25000000.00,52427346.00
Big Fat Liar,15000000.00,52461017.00
Wild,15000000.00,52501541.00
Tyler Perry's A Madea Christmas,25000000.00,52543354.00
The Roommate,16000000.00,52545707.00
Valerian and the City of a Thousand Planets,180000000.00,52573132.00
Untraceable,35000000.00,52649951.00
An Inconvenient Truth,1000000.00,52769915.00
The Boy Next Door,4000000.00,52819253.00
Message in a Bottle,30000000.00,52880016.00
My Cousin Vinny,11000000.00,52929168.00
Defiance,50000000.00,52987754.00
Konferenz der Tiere,30000000.00,53048539.00
That Awkward Moment,8000000.00,53068955.00
From Paris With Love,52000000.00,53139168.00
Pitch Black,23000000.00,53182088.00
Doubt,20000000.00,53191101.00
Arachnophobia,31000000.00,53208180.00
Radio,35000000.00,53293628.00
Madea's Big Happy Family,25000000.00,53345287.00
RoboCop,13000000.00,53424681.00
Bounce,35000000.00,53425292.00
Nine,80000000.00,53508858.00
Stranger Than Fiction,30000000.00,53572822.00
The Messengers,16000000.00,53774833.00
The International,50000000.00,53850527.00
Mickey Blue Eyes,40000000.00,53864342.00
Aeon Flux,55000000.00,53913573.00
Edward Scissorhands,20000000.00,53976987.00
The Verdict,16000000.00,53977250.00
The Borrowers,29000000.00,54045832.00
The Three Stooges,30000000.00,54052249.00
Sinister 2,10000000.00,54104225.00
Domestic Disturbance,53000000.00,54207112.00
La Bamba,6500000.00,54215416.00
The Abyss,70000000.00,54243125.00
Varsity Blues,16000000.00,54294169.00
No Good Deed,13200000.00,54323210.00
Spanglish,75000000.00,54344321.00
Lawless,26000000.00,54393637.00
Barbershop: The Next Cut,20000000.00,54404202.00
The Punisher,33000000.00,54533774.00
Looney Tunes: Back in Action,80000000.00,54540662.00
Doom,70000000.00,54612337.00
Driven,72000000.00,54616869.00
Predator 2,35000000.00,54768418.00
St. Vincent,13000000.00,54837234.00
All Eyez on Me,45000000.00,54855235.00
Analyze That,60000000.00,54994757.00
Dawn of the Dead,1500000.00,55000000.00
Halloween: H2O,17000000.00,55041738.00
The Giver,25000000.00,55090374.00
Waking Ned Devine,3000000.00,55193251.00
Extremely Loud and Incredibly Close,40000000.00,55247881.00
The Odd Life of Timothy Green,40000000.00,55249159.00
She's the Man,25000000.00,55279608.00
We Own the Night,28000000.00,55307857.00
Zoolander 2,50000000.00,55348693.00
Rugrats Go Wild,25000000.00,55443032.00
Out of Time,50000000.00,55489826.00
Lucky Number Slevin,27000000.00,55495466.00
Open Water,500000.00,55518641.00
The Lizzie McGuire Movie,15000000.00,55534455.00
Wild Things,20000000.00,55576699.00
"Definitely, Maybe",7000000.00,55617866.00
The Craft,15000000.00,55669466.00
Pooh's Heffalump Movie,20000000.00,55686944.00
Pay it Forward,40000000.00,55696705.00
The Animal,22000000.00,55762229.00
Moonlight,1500000.00,55800987.00
Kicking and Screaming,45000000.00,55842724.00
Cop Out,37000000.00,55909910.00
Why Did I Get Married?,15000000.00,55934178.00
Silent Hill: Revelation 3D,20000000.00,55975672.00
Spice World,25000000.00,56042592.00
Eastern Promises,50000000.00,56077088.00
Frida,12000000.00,56131239.00
Quartet,11000000.00,56178935.00
Boyz n the Hood,6500000.00,56200634.00
15 Minutes,42000000.00,56331864.00
Drumline,20000000.00,56398162.00
Elektra,65000000.00,56409722.00
Cradle 2 the Grave,25000000.00,56434942.00
The Mothman Prophecies,42000000.00,56438555.00
The Crazies,19000000.00,56445534.00
Tombstone,25000000.00,56505065.00
Remember Me,16000000.00,56506120.00
"Good Night, and Good Luck",7000000.00,56586901.00
Clueless,13700000.00,56598476.00
Murder by Numbers,50000000.00,56643267.00
A Civil Action,60000000.00,56709981.00
Woman in Gold,11000000.00,56758138.00
Into the Wild,20000000.00,56822960.00
The Man in the Iron Mask,35000000.00,56968169.00
Crossroads,12000000.00,57000000.00
The Descent,7000000.00,57051053.00
The Mist,13000000.00,57189408.00
Prom Night,18000000.00,57193655.00
The Blues Brothers,27000000.00,57229890.00
The Nice Guys,50000000.00,57261763.00
Smokin' Aces,17000000.00,57263440.00
Boyhood,4000000.00,57273049.00
Milk,20000000.00,57293371.00
The Godfather: Part II,13000000.00,57300000.00
The Specialist,45000000.00,57362581.00
Chariots of Fire,5500000.00,57467731.00
Pet Sematary,11500000.00,57469179.00
Under the Tuscan Sun,18000000.00,57490024.00
Derailed,22000000.00,57520063.00
The Eye,12000000.00,57577765.00
End of Watch,15000000.00,57586606.00
Year One,60000000.00,57604723.00
Heartbreakers,38000000.00,57753825.00
Dolphin Tale 2,36000000.00,57824533.00
Snatched,42000000.00,57850343.00
Snitch,15000000.00,57907734.00
Yi dai zong shi,38600000.00,57987299.00
My Girl,16500000.00,58011485.00
That's My Boy,57500000.00,58085235.00
Dragonball Evolution,30000000.00,58228460.00
Agent Cody Banks,25000000.00,58240458.00
Bowling for Columbine,3000000.00,58240487.00
Amistad,40000000.00,58250151.00
Little Nicky,80000000.00,58270391.00
The Ninth Gate,38000000.00,58394308.00
Must Love Dogs,35000000.00,58405313.00
Invincible,40000000.00,58501127.00
Zathura,65000000.00,58545540.00
Sea of Love,19000000.00,58571513.00
Jack,45000000.00,58617334.00
The Master,37500000.00,58792011.00
Chāi dàn zhuānjiā,23000000.00,58807172.00
Sliding Doors,6000000.00,58809149.00
Behind Enemy Lines,40000000.00,58855732.00
Jeepers Creepers,10000000.00,58939035.00
The Legend of Hercules,70000000.00,58953319.00
The Gift,5000000.00,58978653.00
One Day,15000000.00,59168692.00
Good Luck Chuck,25000000.00,59183821.00
The Flintstones in Viva Rock Vegas,58000000.00,59431365.00
Scrooged,32000000.00,59450353.00
Aliens in the Attic,45000000.00,59551283.00
Dr. No,1000000.00,59567035.00
21 Grams,20000000.00,59667625.00
Next Friday,9500000.00,59675307.00
Friday the 13th,550000.00,59754601.00
Morning Glory,40000000.00,59795070.00
Son of the Mask,100000000.00,59918422.00
A Haunted House,2500000.00,59922558.00
Superman III,39000000.00,59950623.00
Spartacus,12000000.00,60000000.00
It's a Mad Mad Mad Mad World,9400000.00,60000000.00
Chain Reaction,55000000.00,60209334.00
127 Hours,18000000.00,60217171.00
The Perfect Guy,18000000.00,60264805.00
The Insider,68000000.00,60265197.00
I Spy,70000000.00,60279822.00
Beautiful Creatures,50000000.00,60282876.00
Secretariat,35000000.00,60376247.00
Ten Things I Hate About You,13000000.00,60414025.00
Lord of War,42000000.00,60437727.00
Fantasia 2000 (IMAX),80000000.00,60507228.00
Runner Runner,30000000.00,60512680.00
Kiss the Girls,27000000.00,60527873.00
Dallas Buyers Club,5000000.00,60611845.00
Astérix et Obélix: Au service de Sa Majesté ,77600000.00,60680125.00
The Wild Thornberrys Movie,25000000.00,60694737.00
My Super Ex-Girlfriend,30000000.00,60772856.00
Zoolander,28000000.00,60780981.00
Why Did I Get Married Too?,20000000.00,60831067.00
Marie Antoinette,40000000.00,60862471.00
Taxi 4,17500000.00,60865364.00
Rock of Ages,70000000.00,61031932.00
The Walk,35000000.00,61173364.00
Flatliners,26000000.00,61308153.00
National Lampoon’s Vacation,15000000.00,61400000.00
Larry Crowne,30000000.00,61449135.00
Cellular,45000000.00,61475984.00
A History of Violence,32000000.00,61477797.00
The Five-Year Engagement,30000000.00,61623819.00
Nerve,20000000.00,61680792.00
Monster Trucks,125000000.00,61681268.00
The 13th Warrior,125000000.00,61698899.00
The Tree of Life,35000000.00,61721826.00
Krampus,15000000.00,61788393.00
Mouse Hunt,38000000.00,61894591.00
Friday Night Lights,30000000.00,61950770.00
Snakes on a Plane,33000000.00,62020814.00
28 Days,43000000.00,62063972.00
Brooklyn,11000000.00,62076141.00
Captain Corelli's Mandolin,57000000.00,62097495.00
A Walk Among the Tombstones,28000000.00,62108587.00
Two Brothers,72000000.00,62176754.00
Ninja Assassin,50000000.00,62209892.00
The Reaping,40000000.00,62226214.00
Not Another Teen Movie,15000000.00,62401343.00
Like Mike,30000000.00,62432423.00
Snow Day,13000000.00,62452927.00
Patton,12000000.00,62500000.00
The Crying Game,4000000.00,62546695.00
Unfriended,1000000.00,62561449.00
Splash,8000000.00,62599495.00
Honey,18000000.00,62646763.00
Proof of Life,65000000.00,62761005.00
The Darkest Hour,34800000.00,62831715.00
The Peacemaker,50000000.00,62967368.00
Footloose,24000000.00,62989834.00
The Sweetest Thing,43000000.00,63078756.00
Beavis and Butt-head Do America,12000000.00,63118386.00
Kick-Ass 2,28000000.00,63129909.00
Random Hearts,64000000.00,63200000.00
Lions for Lambs,35000000.00,63211088.00
Madea's Family Reunion,10000000.00,63320521.00
Devil,10000000.00,63354114.00
Conan the Barbarian,90000000.00,63356133.00
Tango & Cash,55000000.00,63408614.00
She's All That,10000000.00,63465522.00
In Good Company,26000000.00,63489752.00
Stuck On You,55000000.00,63537164.00
Flags of Our Fathers,53000000.00,63657941.00
Cop Land,15000000.00,63706632.00
God’s Not Dead,1150000.00,63777092.00
High Crimes,42000000.00,63781100.00
The Longest Ride,34000000.00,63802928.00
The Remains of the Day,15000000.00,63954968.00
Baby Mama,30000000.00,64170447.00
"Hail, Caesar!",22000000.00,64171419.00
Valiant,35000000.00,64188387.00
28 Weeks Later,15000000.00,64232714.00
Monster,5000000.00,64240813.00
Wag the Dog,15000000.00,64252038.00
The Imaginarium of Doctor Parnassus,30000000.00,64352607.00
Miracle,28000000.00,64474705.00
The Host,50000000.00,64477051.00
Nothing To Lose,25000000.00,64594061.00
Haeundae,16000000.00,64733391.00
The Benchwarmers,35000000.00,65063726.00
Something Borrowed,35000000.00,65084116.00
House on Haunted Hill,19000000.00,65090541.00
Without a Paddle,30000000.00,65121280.00
Se jie,15000000.00,65261291.00
Jersey Boys,40000000.00,65282732.00
Donnie Brasco,35000000.00,65303052.00
Hanna,30000000.00,65343694.00
Take the Lead,30000000.00,65390493.00
Killer Elite,70000000.00,65409046.00
Street Kings,20000000.00,65454793.00
The Ghost Writer,45000000.00,65532491.00
Witness,12000000.00,65532576.00
16 Blocks,45000000.00,65595141.00
The Road to El Dorado,95000000.00,65700000.00
Ever After: A Cinderella Story,26000000.00,65705772.00
K-19: The Widowmaker,90000000.00,65716126.00
Sweet November,40000000.00,65754228.00
Barbershop 2: Back in Business,18000000.00,65842412.00
Hot Tub Time Machine,36000000.00,65967750.00
August Rush,25000000.00,66015869.00
The Bank Job,20000000.00,66143005.00
The Godfather: Part III,54000000.00,66520529.00
Thirteen Days,80000000.00,66554547.00
Inkheart,60000000.00,66655938.00
Side Effects,30000000.00,66742138.00
Selma,20000000.00,66776908.00
Hero,42000000.00,66787173.00
Changing Lanes,45000000.00,66790248.00
102 Dalmatians,85000000.00,66941559.00
Tyler Perry's Madea's Witness Protection,20000000.00,66950887.00
Run All Night,50000000.00,66961644.00
Space Chimps,37000000.00,67029956.00
The Watch,55000000.00,67130045.00
Coal Miner's Daughter,15000000.00,67182787.00
Boogeyman,20000000.00,67192859.00
When a Stranger Calls,15000000.00,67215435.00
The Next Three Days,30000000.00,67255916.00
Star Trek: Nemesis,60000000.00,67312826.00
The Men Who Stare at Goats,24000000.00,67348218.00
Legion,26000000.00,67647574.00
Austin Powers: International Man of Mystery,18000000.00,67683989.00
Outbreak,50000000.00,67823573.00
Letters from Iwo Jima,13000000.00,67867998.00
The American,20000000.00,67950723.00
Frequency,31000000.00,68079671.00
The X-Files: I Want to Believe,35000000.00,68170792.00
The Boy,10000000.00,68220952.00
Practical Magic,60000000.00,68336997.00
Ghost Ship,20000000.00,68349884.00
Pokemon 3: The Movie,3000000.00,68452128.00
Thirteen Ghosts,19000000.00,68467960.00
One Direction: This is Us,10000000.00,68541786.00
Moonrise Kingdom,16000000.00,68582095.00
Open Range,26000000.00,68613992.00
Star Wars: The Clone Wars,8500000.00,68695443.00
2001: A Space Odyssey,10500000.00,68700000.00
From Hell,35000000.00,68712365.00
Precious (Based on the Novel Push by Sapphire),10000000.00,68722848.00
